time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.758215435402363e-08,-5.358182263346063e-08,10.002228020318107,6.282858287287908,6.283068091775746,0.0,7.695496588564145e-06,-1.4721394780241309e-05,0.07426475348478002,-0.0195298753261547,-0.006179258496312442,0.0,429.0841882337254,428.55942180304237,429.3214744585223,427.6615888449022
0.12000000000000001,5.180674981530742e-06,-1.435978998170095e-05,10.013548727138051,6.281571088063933,6.2825575151963164,0.0,0.00021553366344867134,-0.0006106403129555822,0.30305869096405774,-0.02560765253844675,-0.013633452709026167,0.0,476.9874532509187,476.41807158378674,475.5934156754112,475.1277844862346
0.18,3.7433986779920185e-05,-9.893228966928893e-05,10.039261950470953,6.279796010997602,6.281984258794269,0.0,0.0009447183593597761,-0.002412309627608795,0.5539601256172128,-0.03904075753333053,-0.0024399593434198622,0.0,483.2968940633747,484.1398124672721,481.8688347435965,480.8522299609519
0.23999999999999996,0.0001172520865694139,-0.00031541946243605966,10.073610877436149,6.2774648163540565,6.281632777069568,0.0,0.001737943717306434,-0.005020437502321571,0.5909844600612607,-0.03848092530075354,-0.013762804591121953,0.0,416.93984857162445,415.94966572732545,417.0742130745606,417.12224204330806
0.3,0.00025661810299752426,-0.0007455543270418636,10.112365751558153,6.275005425989324,6.281322749420138,0.0,0.002962138288988088,-0.009563107459459232,0.7007815422143109,-0.046548578634512054,0.008057131622048345,0.0,439.1414890582462,440.94753923205144,441.052465265578,440.3848286960105
0.36000000000000004,0.0004738718258644118,-0.0015151975523434904,10.159263532442878,6.272051095237519,6.282129775085549,0.0,0.004205829078455065,-0.016409351789506706,0.8623666450731289,-0.055248041216792027,0.022498805065968387,0.0,455.9444267989245,457.096491135568,456.9408928186506,456.2454911415779
0.4200000000000001,0.0007451993588243075,-0.002777195114596334,10.216984274939307,6.268961060933741,0.00036228697919327146,0.0,0.0046767066264720315,-0.026027928641861854,1.0614897911820684,-0.0449004333238799,0.025802157092950983,0.0,468.129216020288,468.3861865765584,467.5063246332735,468.3101914516881
0.48000000000000015,0.001010120572077652,-0.004637830952926641,10.283374554164888,6.266896631334953,0.003393716963692839,0.0,0.003901399083637899,-0.03622554142732999,1.1514289378139047,-0.019010404986249032,0.07759924222965037,0.0,432.4170216202639,436.7594015180331,434.05495161986954,436.2213560839695
0.5400000000000001,0.0011580257581055471,-0.007144121684814809,10.354990899727468,6.266116532817627,0.008295370399904023,0.0,0.0005517168154877098,-0.04740968296136724,1.2356908545684575,-0.0030952247838993835,0.08882861234577907,0.0,432.76908495872993,433.71868847334497,432.58970360721173,433.92773462627423
0.6000000000000002,0.001005117500199302,-0.010331615219906734,10.431515679015348,6.265789044024894,0.013542802071664362,0.0,-0.006171334871853974,-0.058863529266615346,1.3150409862328276,-0.010661231464825312,0.08456481831479429,0.0,431.78923085014435,431.4359994280538,432.46598521621354,431.828384031029
0.6600000000000003,0.000323697708215482,-0.014239457122754297,10.514220572403318,6.26505643864807,0.018871623449246755,0.0,-0.017092716734955833,-0.07146768323237214,1.4416273850251673,-0.01550311721646915,0.09618148545568989,0.0,447.21598174476065,448.1675418186378,446.5714006273685,446.17643356543573
0.7200000000000003,-0.0012163875198646617,-0.018999353590805384,10.608830415494559,6.264034437449638,0.02501172203300861,0.0,-0.0349963243787649,-0.08731260195289682,1.7116509449419766,-0.020284141254410047,0.11243243834359774,0.0,489.56288021684094,490.77834917008016,489.9269811392558,489.5715175265729
0.7800000000000004,-0.003950073166966311,-0.024705699529480818,10.71799133060523,6.262479669066266,0.03197377545607338,0.0,-0.05693443714606162,-0.10305296304818093,1.9266823269405877,-0.04061153820680705,0.12240312379500187,0.0,475.7621997072178,476.5359379647495,474.4399318671743,472.8766198288588
0.8400000000000004,-0.008010178333931367,-0.031297637798107764,10.835240572440089,6.259905951736091,0.0394468712722551,0.0,-0.07910576732344742,-0.11691430379710896,1.9815006644915203,-0.047904601519195115,0.1285314086812798,0.0,425.18040914146,425.71990838324797,427.23420707028396,426.6108547163941
0.9000000000000005,-0.013608564479116738,-0.038808667218819454,10.957299442639686,6.257089081310827,0.04720939149859937,0.0,-0.10829491664312026,-0.13374067285508925,2.0868980205265557,-0.045100455670088094,0.13101023489918268,0.0,442.3150463346417,442.5345304426415,442.8427869211792,443.0720448841724
0.9600000000000005,-0.02108158542415892,-0.04736567544156607,11.084869511122916,6.25453981046871,0.055299901945134344,0.0,-0.14158761454876778,-0.15174734303542542,2.165241469191051,-0.03771820124135168,0.14156830614193006,0.0,434.41917805999435,435.32067154599827,434.0255820330004,434.6436412146419
1.0200000000000005,-0.030886617124186284,-0.057139113551974034,11.220109215291187,6.252157495527127,0.06430103984865809,0.0,-0.18622344484563816,-0.17428538232089827,2.3423300549478943,-0.044007930622591715,0.16305524090718376,0.0,464.5336967981766,466.23516741370634,466.1360706513311,465.6435858733556
1.0800000000000005,-0.04337318083327372,-0.06822161140247203,11.362813080078446,6.249503917519739,0.07415480233070326,0.0,-0.2309462344036719,-0.1953836169874127,2.4142339042629866,-0.044666520663468684,0.16647694116767484,0.0,433.0276294654476,433.3418370518578,434.63387558386125,434.57751811734613
1.1400000000000006,-0.058896410763225465,-0.08069263349643965,11.511869176240365,6.246484725004699,0.08468488502095362,0.0,-0.2875829337811382,-0.22060753199304364,2.5538909706519024,-0.06510152877958088,0.1892183636600293,0.0,455.04930579257393,456.89436645844756,456.2466826898274,454.6106030074784
